name,company,price,original_price,discount,offers,url,page,discount_pct,savings,price_band,high_discount
Men Printed Zip Neck Cotton Blend Brown T-Shirt,Force,318,1999,84,"Buy 2 items, save extra 5%",https://www.flipkart.com/force-printed-men-zip-neck-brown-t-shirt/p/itm0a815e455f9c3?pid=TSHHFZY5MWGKZP6M&lid=LSTTSHHFZY5MWGKZP6MYVCMG0&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_21&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LMKrL0DYzQi53tmrpNts60ZiBTX6kOp7JbdSdHZD6QeCw%3D%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,84.09,1681,Budget,1
"Men Solid Mandarin Collar Cotton Blend Dark Green, Blac...",TRIPR,226,1999,88,Hot Deal,https://www.flipkart.com/tripr-solid-men-mandarin-collar-dark-green-black-t-shirt/p/itm0d79233a1f312?pid=TSHGZ29HGFBRYBGP&lid=LSTTSHGZ29HGFBRYBGPIIAQP4&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_22&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LO9Z8MouGrnePO3ko6VP5XYOYH69W13H4esEMDc7lo08JxkhLmIBDS3Pr7Nxtl3saw%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,88.69,1773,Budget,1
Men Self Design Round Neck Polyester Beige T-Shirt,Force,252,1999,87,Hot Deal,https://www.flipkart.com/force-self-design-men-round-neck-beige-t-shirt/p/itmaa5e7d385412d?pid=TSHH9MAXQGNMXD6H&lid=LSTTSHH9MAXQGNMXD6HKUEWSB&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_23&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHH9MAXQGNMXD6H.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,87.39,1747,Budget,1
Men Self Design Round Neck Polyester Brown T-Shirt,sti,220,999,77,Hot Deal,https://www.flipkart.com/sti-self-design-men-round-neck-brown-t-shirt/p/itm10c01e1227d7f?pid=TSHHGUM6A4BJ7TK6&lid=LSTTSHHGUM6A4BJ7TK61P2KIP&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_24&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHHGUM6A4BJ7TK6.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,77.98,779,Budget,1
Men Regular Fit Striped Spread Collar Formal Shirt,MILDIN,446,1999,77,Hot Deal,https://www.flipkart.com/mildin-men-striped-formal-grey-shirt/p/itm76b19011532d7?pid=SHTH9XDWWJUWXJGP&lid=LSTSHTH9XDWWJUWXJGPGYMUGK&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_25&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LNNIpb1qtqSvc8CskeDbRlr6q8oLKtaeulhRZyBK0mmXA%3D%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,77.69,1553,Budget,1
Men Solid Round Neck Polyester Dark Blue T-Shirt,JOCKEY,998,999,0,Only few left,https://www.flipkart.com/jockey-solid-men-round-neck-dark-blue-t-shirt/p/itm6a60ab02a1611?pid=TSHGPPMZSSAYFAJF&lid=LSTTSHGPPMZSSAYFAJFA1HCOU&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_26&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHGPPMZSSAYFAJF.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,0.1,1,Premium,0
Men Solid Mandarin Collar Polycotton Black T-Shirt,N AND J,322,699,53,"Buy 2 items, save extra 5%",https://www.flipkart.com/n-j-solid-men-mandarin-collar-black-t-shirt/p/itmc7dd178e02a4a?pid=TSHGTMGYFTAUTQTK&lid=LSTTSHGTMGYFTAUTQTKFUKHIC&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_27&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LOfDd-6CEzvYctfdZLBbffnPptsYLlMiMp4vp5KxTzMjvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,53.93,377,Budget,1
"Men Striped Round Neck Polyester Grey, White T-Shirt",Force,243,1999,87,Hot Deal,https://www.flipkart.com/force-striped-men-round-neck-grey-white-t-shirt/p/itm18766c14e265d?pid=TSHH6TZKK6GDWGXX&lid=LSTTSHH6TZKK6GDWGXXBIQBLD&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_28&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LNeIf7z3oawKBwgQThZpe1FQ46G2eU4-Oxq90VDTGkYgQ%3D%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,87.84,1756,Budget,1
Men Regular Fit Solid Mandarin Collar Casual Shirt,FUBAR,236,1999,88,Hot Deal,https://www.flipkart.com/fubar-men-solid-casual-maroon-shirt/p/itm0ce7b71d7b9a1?pid=SHTHFESB4HF8Q6WC&lid=LSTSHTHFESB4HF8Q6WC9JB7BR&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_29&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.SHTHFESB4HF8Q6WC.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,88.19,1763,Budget,1
Men Typography Mandarin Collar Cotton Blend Orange T-Sh...,Ambeycreations,163,999,83,Hot Deal,https://www.flipkart.com/ambeycreations-typography-men-mandarin-collar-orange-t-shirt/p/itme071c3e83c8b0?pid=TSHGQDA4TRMSPAP3&lid=LSTTSHGQDA4TRMSPAP32BGV66&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_30&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHGQDA4TRMSPAP3.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,83.68,836,Budget,1
Men Graphic Print Round Neck Cotton Blend Black T-Shirt,HADAR,240,1999,87,"Buy 2 items, save extra 5%",https://www.flipkart.com/hadar-graphic-print-men-round-neck-black-t-shirt/p/itm566fa9a94fa22?pid=TSHHF54UBAH3WZXZ&lid=LSTTSHHF54UBAH3WZXZPGO6UG&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_31&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LNxVNh3TWSfWIcgUIAorKBAEE_ZrvSheKZrDN1nyJ2W2PUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,87.99,1759,Budget,1
Pack of 3 Men Solid Round Neck Cotton Blend Multicolor ...,BLIVE,475,1999,76,Hot Deal,https://www.flipkart.com/blive-solid-men-round-neck-multicolor-t-shirt/p/itm2efe30e830368?pid=TSHH7ZEGYTGCVTG8&lid=LSTTSHH7ZEGYTGCVTG8W945VX&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_32&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LPQTBd8TibV0gWveMuE6HnNjCeSp8AMLyfhW8J_mMmpJt5koc4Vde5BrV07v6K7Rm4%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,76.24,1524,Budget,1
Men Regular Fit Striped Casual Shirt,HKV FASHION,236,1999,88,Hot Deal,https://www.flipkart.com/hkv-fashion-men-striped-casual-pink-shirt/p/itmf82a4117daec1?pid=SHTHFHSF6SNCDTTW&lid=LSTSHTHFHSF6SNCDTTW5AQWL1&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_33&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.SHTHFHSF6SNCDTTW.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,88.19,1763,Budget,1
Men Regular Fit Solid Spread Collar Formal Shirt,VTEXX,276,1999,86,Hot Deal,https://www.flipkart.com/vtexx-men-solid-formal-yellow-shirt/p/itm2ba5e61da5b69?pid=SHTH8YFUMZWTBMXN&lid=LSTSHTH8YFUMZWTBMXNNX4WUG&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_34&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.SHTH8YFUMZWTBMXN.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,86.19,1723,Budget,1
Men Regular Fit Solid Button Down Collar Casual Shirt,RED TAPE,752,4299,82,Hot Deal,https://www.flipkart.com/red-tape-men-solid-casual-pink-shirt/p/itm8db046dcd06e5?pid=SHTGNEFMQYHFHXYG&lid=LSTSHTGNEFMQYHFHXYGZDDZVV&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_35&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LMAU672WgiMMCTZVG4iJ8gZoiGKBPfu6KBAvvoPOqeMUhJKcTGELNs0GTMJ7rfVFA4%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,82.51,3547,Premium,1
Men Abstract Polo Neck Polycotton Light Blue T-Shirt,VeBNoR,148,999,85,Hot Deal,https://www.flipkart.com/vebnor-abstract-men-polo-neck-light-blue-t-shirt/p/itmd771cbcc3e251?pid=TSHH4HKPPTHHGR22&lid=LSTTSHH4HKPPTHHGR229NDAJN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_36&otracker=browse&fm=organic&iid=fa2ec572-4515-43fc-bcbc-ca2f0de3f4c5.TSHH4HKPPTHHGR22.SEARCH&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,85.19,851,Budget,1
Men Slim Fit Solid Slim Collar Casual Shirt,Tom Mackler,394,1499,73,"Buy 2 items, save extra 5%",https://www.flipkart.com/tom-mackler-men-solid-casual-cream-shirt/p/itm781651dc9f6f1?pid=SHTHGSCNQSGRK5EZ&lid=LSTSHTHGSCNQSGRK5EZBKY7SU&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_37&otracker=browse&fm=organic&iid=en_Ny5kUqc3ua8-D6_74gurkSkimP1QiIUd2Gk4axNx6LMhSWz1cIaIxaRUbnHwDmSXjD1VILsgg_Jd1A_rEqw2Aw%3D%3D&ppt=None&ppn=None&ssid=dqqnzr5ohs0000001769928990696,1,73.72,1105,Budget,1
